dummy,pos_x,pos_y,pos_z,b827ebfd7811,000000000402,b827ebf7d096,000000000202,000000000201,000000000301,000000000401,b827eb4521b4,000000000101,000000000102,000000000302,b827eb917e19
0,0.16,15.33,1.85,-82,-76,-82,-73,-67,-78,-79,-76,-71,-77,-77,-74
0,0.16,15.33,1.85,-80,-77,-82,-73,-67,-86,-79,-70,-71,-77,-77,-72
0,0.16,15.33,1.85,-81,-74,-82,-73,-63,-76,-78,-76,-78,-72,-86,-79
0,0.16,15.33,1.85,-79,-77,-81,-73,-66,-86,-79,-70,-71,-77,-76,-70
0,0.16,15.33,1.85,-86,-73,-82,-68,-63,-77,-83,-76,-69,-77,-86,-79
0,0.16,15.33,1.85,-81,-77,-81,-74,-62,-80,-76,-70,-85,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-71,-77,-76,-72
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-86,-78,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-75,-82,-73,-63,-77,-79,-76,-71,-72,-86,-74
0,0.16,15.33,1.85,-81,-76,-82,-74,-63,-76,-76,-75,-84,-77,-82,-74
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-76,-78,-76,-85,-72,-77,-79
0,0.16,15.33,1.85,-81,-78,-81,-74,-62,-86,-76,-71,-85,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-82,-73,-62,-77,-79,-88,-70,-77,-77,-72
0,0.16,15.33,1.85,-87,-73,-82,-68,-63,-77,-84,-76,-68,-76,-87,-79
0,0.16,15.33,1.85,-80,-78,-81,-74,-63,-86,-78,-70,-78,-77,-77,-70
0,0.16,15.33,1.85,-80,-74,-82,-73,-63,-76,-79,-76,-70,-75,-86,-77
0,0.16,15.33,1.85,-80,-77,-82,-73,-67,-77,-79,-76,-71,-77,-76,-72
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-77,-79,-70,-70,-77,-77,-72
0,0.16,15.33,1.85,-81,-75,-82,-73,-63,-78,-78,-76,-71,-77,-87,-75
0,0.16,15.33,1.85,-80,-75,-82,-73,-67,-77,-79,-76,-71,-77,-77,-74
0,0.16,15.33,1.85,-80,-77,-81,-73,-63,-78,-79,-75,-71,-79,-76,-74
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-71,-78,-77,-72
0,0.16,15.33,1.85,-81,-77,-82,-74,-63,-76,-78,-73,-71,-77,-77,-74
0,0.16,15.33,1.85,-80,-78,-80,-74,-62,-74,-76,-71,-85,-77,-77,-70
0,0.16,15.33,1.85,-87,-73,-82,-68,-63,-77,-84,-76,-68,-76,-87,-79
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-74,-78,-76,-85,-75,-87,-79
0,0.16,15.33,1.85,-80,-77,-80,-74,-62,-80,-78,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-81,-78,-76,-71,-72,-77,-74
0,0.16,15.33,1.85,-83,-74,-82,-74,-63,-74,-79,-75,-85,-72,-85,-79
0,0.16,15.33,1.85,-80,-78,-80,-73,-62,-82,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-70,-77,-77,-72
0,0.16,15.33,1.85,-81,-74,-82,-73,-63,-76,-78,-76,-78,-77,-86,-77
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-70,-75,-77,-74
0,0.16,15.33,1.85,-81,-75,-82,-74,-63,-76,-78,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-81,-77,-82,-71,-63,-78,-79,-76,-70,-77,-77,-74
0,0.16,15.33,1.85,-81,-78,-80,-74,-62,-76,-76,-76,-85,-72,-77,-80
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-76,-70,-72,-76,-74
0,0.16,15.33,1.85,-86,-72,-82,-71,-63,-76,-84,-90,-85,-77,-85,-79
0,0.16,15.33,1.85,-81,-75,-81,-74,-63,-76,-78,-76,-84,-72,-87,-79
0,0.16,15.33,1.85,-87,-72,-82,-75,-63,-76,-80,-76,-85,-72,-87,-80
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-74,-78,-71,-78,-77,-77,-69
0,0.16,15.33,1.85,-80,-76,-82,-71,-63,-77,-79,-75,-70,-77,-77,-72
0,0.16,15.33,1.85,-80,-77,-82,-73,-63,-77,-79,-76,-71,-75,-77,-74
0,0.16,15.33,1.85,-86,-73,-82,-73,-63,-74,-81,-76,-78,-72,-87,-79
0,0.16,15.33,1.85,-81,-74,-81,-74,-63,-74,-76,-76,-85,-77,-86,-75
0,0.16,15.33,1.85,-81,-76,-82,-73,-63,-86,-79,-76,-71,-77,-77,-72
0,0.16,15.33,1.85,-87,-73,-82,-74,-63,-74,-80,-76,-85,-72,-86,-80
0,0.16,15.33,1.85,-83,-75,-82,-73,-63,-77,-81,-89,-68,-77,-86,-79
0,0.16,15.33,1.85,-86,-73,-82,-74,-63,-77,-83,-76,-71,-72,-77,-74
0,0.16,15.33,1.85,-81,-77,-82,-74,-63,-76,-79,-75,-85,-77,-77,-74
0,0.16,15.33,1.85,-86,-74,-82,-68,-63,-86,-84,-76,-69,-77,-86,-77
0,0.16,15.33,1.85,-84,-75,-81,-74,-63,-76,-80,-76,-84,-72,-77,-79
0,0.16,15.33,1.85,-80,-74,-82,-68,-63,-77,-79,-83,-68,-79,-86,-74
0,0.16,15.33,1.85,-80,-77,-82,-73,-63,-80,-79,-70,-78,-77,-76,-72
0,0.16,15.33,1.85,-83,-74,-82,-68,-63,-86,-81,-76,-68,-72,-85,-77
0,0.16,15.33,1.85,-84,-73,-82,-74,-63,-77,-82,-76,-67,-72,-87,-79
0,0.16,15.33,1.85,-80,-74,-81,-73,-63,-82,-79,-76,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-78,-82,-73,-63,-82,-79,-70,-70,-77,-77,-74
0,0.16,15.33,1.85,-81,-74,-80,-73,-63,-86,-76,-70,-71,-77,-87,-69
0,0.16,15.33,1.85,-86,-75,-82,-71,-63,-78,-84,-76,-71,-77,-86,-80
0,0.16,15.33,1.85,-80,-78,-81,-73,-62,-86,-76,-70,-70,-77,-77,-69
0,0.16,15.33,1.85,-80,-77,-82,-72,-62,-82,-76,-70,-70,-77,-77,-72
0,0.16,15.33,1.85,-81,-78,-80,-74,-62,-80,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-86,-74,-82,-74,-63,-80,-84,-73,-70,-72,-86,-77
0,0.16,15.33,1.85,-80,-75,-82,-68,-63,-77,-79,-76,-67,-79,-86,-77
0,0.16,15.33,1.85,-80,-77,-82,-73,-63,-86,-78,-88,-70,-79,-76,-74
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-74,-78,-76,-84,-75,-86,-77
0,0.16,15.33,1.85,-80,-74,-82,-73,-63,-82,-78,-76,-71,-79,-87,-77
0,0.16,15.33,1.85,-84,-75,-82,-74,-63,-74,-81,-71,-84,-77,-87,-74
0,0.16,15.33,1.85,-80,-77,-82,-73,-63,-86,-79,-73,-71,-77,-77,-72
0,0.16,15.33,1.85,-86,-72,-82,-74,-63,-77,-84,-75,-71,-72,-87,-80
0,0.16,15.33,1.85,-81,-78,-82,-73,-63,-78,-78,-80,-70,-79,-77,-72
0,0.16,15.33,1.85,-81,-77,-82,-71,-63,-77,-79,-76,-68,-77,-76,-74
0,0.16,15.33,1.85,-80,-74,-82,-71,-63,-77,-79,-76,-68,-77,-86,-74
0,0.16,15.33,1.85,-81,-75,-82,-73,-63,-78,-79,-82,-70,-79,-86,-77
0,0.16,15.33,1.85,-86,-73,-82,-68,-63,-77,-84,-76,-68,-72,-86,-79
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-74,-78,-75,-85,-72,-87,-78
0,0.16,15.33,1.85,-87,-72,-82,-74,-63,-74,-83,-75,-85,-72,-85,-80
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-74,-76,-75,-85,-72,-86,-79
0,0.16,15.33,1.85,-86,-75,-82,-73,-63,-77,-82,-76,-71,-77,-87,-75
0,0.16,15.33,1.85,-80,-75,-81,-73,-63,-82,-79,-77,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-78,-81,-73,-62,-74,-76,-70,-71,-77,-76,-70
0,0.16,15.33,1.85,-84,-75,-82,-73,-63,-77,-82,-76,-71,-77,-86,-77
0,0.16,15.33,1.85,-84,-74,-82,-74,-63,-74,-82,-76,-85,-72,-87,-79
0,0.16,15.33,1.85,-80,-76,-82,-74,-63,-80,-76,-77,-78,-77,-77,-72
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-86,-73,-82,-74,-63,-74,-84,-76,-84,-72,-87,-80
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-82,-78,-73,-71,-77,-77,-72
0,0.16,15.33,1.85,-81,-74,-81,-75,-63,-74,-76,-71,-85,-77,-87,-75
0,0.16,15.33,1.85,-81,-77,-81,-74,-63,-74,-76,-70,-85,-77,-86,-74
0,0.16,15.33,1.85,-84,-74,-82,-74,-63,-74,-81,-73,-78,-72,-87,-77
0,0.16,15.33,1.85,-81,-75,-82,-74,-67,-76,-78,-90,-85,-75,-86,-79
0,0.16,15.33,1.85,-81,-78,-81,-74,-62,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-84,-73,-82,-74,-63,-74,-84,-76,-85,-72,-86,-79
0,0.16,15.33,1.85,-81,-75,-80,-73,-62,-74,-78,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-86,-77,-82,-74,-63,-78,-84,-76,-78,-77,-85,-70
0,0.16,15.33,1.85,-81,-75,-82,-74,-63,-76,-78,-75,-85,-77,-86,-79
0,0.16,15.33,1.85,-81,-78,-82,-73,-63,-78,-78,-89,-70,-77,-77,-74
0,0.16,15.33,1.85,-87,-73,-82,-74,-63,-74,-84,-76,-85,-72,-86,-79
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-82,-78,-76,-70,-78,-77,-74
0,0.16,15.33,1.85,-81,-78,-81,-74,-63,-76,-76,-76,-84,-77,-86,-79
0,0.16,15.33,1.85,-81,-78,-80,-74,-62,-74,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-86,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-86,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-80,-77,-82,-74,-63,-80,-79,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-80,-77,-81,-73,-62,-74,-78,-70,-85,-77,-77,-70
0,0.16,15.33,1.85,-81,-78,-80,-74,-62,-86,-76,-71,-71,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-82,-71,-63,-77,-79,-76,-68,-77,-77,-74
0,0.16,15.33,1.85,-83,-78,-81,-73,-63,-76,-80,-76,-70,-77,-82,-75
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-80,-76,-70,-71,-77,-76,-70
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-74,-76,-70,-78,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-82,-74,-62,-86,-78,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-83,-75,-82,-74,-63,-76,-79,-76,-84,-77,-86,-77
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-74,-76,-70,-78,-77,-77,-74
0,0.16,15.33,1.85,-81,-72,-82,-74,-63,-74,-80,-76,-85,-72,-86,-80
0,0.16,15.33,1.85,-80,-75,-81,-74,-62,-86,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-84,-76,-81,-71,-63,-77,-80,-76,-71,-75,-77,-79
0,0.16,15.33,1.85,-81,-76,-80,-74,-63,-74,-76,-76,-85,-77,-77,-75
0,0.16,15.33,1.85,-81,-76,-81,-74,-63,-86,-76,-70,-70,-77,-76,-70
0,0.16,15.33,1.85,-80,-75,-83,-71,-67,-78,-79,-82,-70,-79,-77,-74
0,0.16,15.33,1.85,-81,-78,-80,-73,-63,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-86,-73,-82,-74,-63,-76,-84,-76,-85,-72,-86,-80
0,0.16,15.33,1.85,-86,-72,-82,-74,-63,-74,-84,-75,-85,-72,-86,-79
0,0.16,15.33,1.85,-86,-72,-81,-73,-63,-77,-80,-76,-70,-72,-82,-79
0,0.16,15.33,1.85,-81,-74,-81,-74,-63,-80,-78,-73,-78,-72,-77,-69
0,0.16,15.33,1.85,-80,-78,-80,-74,-63,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-87,-73,-82,-74,-63,-74,-84,-76,-85,-72,-87,-80
0,0.16,15.33,1.85,-80,-74,-81,-74,-63,-74,-78,-76,-84,-72,-77,-74
0,0.16,15.33,1.85,-81,-78,-81,-73,-63,-77,-76,-70,-70,-77,-77,-69
0,0.16,15.33,1.85,-83,-75,-82,-74,-63,-77,-82,-76,-70,-77,-86,-77
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-82,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-87,-77,-82,-74,-63,-74,-83,-70,-85,-77,-86,-75
0,0.16,15.33,1.85,-84,-73,-82,-71,-63,-76,-82,-76,-84,-72,-86,-79
0,0.16,15.33,1.85,-81,-77,-81,-73,-62,-74,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-81,-74,-81,-74,-63,-74,-78,-76,-85,-75,-77,-77
0,0.16,15.33,1.85,-87,-78,-82,-73,-63,-74,-84,-70,-71,-77,-87,-75
0,0.16,15.33,1.85,-81,-73,-82,-74,-63,-74,-79,-76,-85,-72,-77,-74
0,0.16,15.33,1.85,-86,-78,-82,-73,-63,-74,-83,-70,-84,-77,-86,-75
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-86,-76,-71,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-77,-81,-73,-63,-74,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-84,-74,-82,-71,-63,-77,-82,-76,-68,-72,-86,-77
0,0.16,15.33,1.85,-84,-76,-82,-74,-63,-77,-80,-76,-85,-75,-77,-79
0,0.16,15.33,1.85,-84,-73,-82,-74,-63,-74,-80,-76,-85,-72,-76,-80
0,0.16,15.33,1.85,-84,-75,-81,-74,-63,-77,-80,-76,-71,-77,-82,-80
0,0.16,15.33,1.85,-81,-75,-80,-74,-63,-74,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-82,-77,-76,-70,-77,-77,-72
0,0.16,15.33,1.85,-86,-73,-82,-74,-63,-74,-84,-76,-85,-72,-86,-79
0,0.16,15.33,1.85,-81,-77,-81,-73,-62,-80,-76,-70,-78,-77,-77,-70
0,0.16,15.33,1.85,-81,-76,-82,-73,-63,-77,-77,-73,-85,-77,-77,-72
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-74,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-86,-77,-74,-71,-77,-77,-72
0,0.16,15.33,1.85,-81,-75,-82,-74,-63,-74,-78,-76,-85,-77,-77,-74
0,0.16,15.33,1.85,-81,-78,-80,-73,-62,-86,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-86,-78,-82,-73,-63,-77,-83,-70,-71,-77,-86,-75
0,0.16,15.33,1.85,-87,-78,-82,-73,-63,-77,-84,-70,-71,-77,-87,-74
0,0.16,15.33,1.85,-80,-78,-80,-74,-63,-74,-76,-70,-70,-77,-77,-70
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-86,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-84,-72,-82,-74,-63,-76,-81,-76,-85,-72,-87,-79
0,0.16,15.33,1.85,-81,-77,-82,-73,-62,-86,-78,-73,-71,-77,-77,-72
0,0.16,15.33,1.85,-81,-75,-82,-74,-63,-74,-78,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-84,-72,-82,-71,-63,-78,-80,-75,-71,-72,-86,-80
0,0.16,15.33,1.85,-81,-78,-81,-73,-62,-82,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-74,-82,-73,-63,-77,-82,-76,-70,-72,-86,-77
0,0.16,15.33,1.85,-81,-77,-82,-74,-63,-74,-78,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-81,-76,-81,-74,-63,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-78,-81,-73,-62,-86,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-81,-76,-80,-72,-63,-74,-76,-70,-71,-77,-75,-70
0,0.16,15.33,1.85,-86,-76,-82,-74,-63,-74,-84,-70,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-78,-81,-73,-62,-86,-76,-70,-70,-77,-77,-69
0,0.16,15.33,1.85,-83,-75,-82,-73,-63,-77,-82,-76,-71,-75,-77,-77
0,0.16,15.33,1.85,-80,-74,-81,-73,-63,-82,-78,-76,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-77,-81,-73,-63,-74,-78,-76,-85,-77,-77,-72
0,0.16,15.33,1.85,-86,-78,-82,-73,-63,-74,-84,-70,-71,-77,-86,-75
0,0.16,15.33,1.85,-86,-75,-82,-73,-63,-77,-80,-70,-71,-77,-86,-75
0,0.16,15.33,1.85,-80,-74,-83,-74,-63,-76,-79,-89,-84,-77,-86,-74
0,0.16,15.33,1.85,-81,-77,-80,-73,-62,-80,-76,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-86,-78,-82,-73,-63,-76,-84,-70,-71,-77,-77,-74
0,0.16,15.33,1.85,-86,-75,-83,-68,-70,-77,-84,-76,-68,-72,-86,-77
0,0.16,15.33,1.85,-81,-76,-82,-73,-63,-80,-76,-70,-78,-77,-77,-70
0,0.16,15.33,1.85,-86,-74,-83,-73,-63,-77,-82,-76,-71,-77,-86,-77
0,0.16,15.33,1.85,-86,-73,-80,-74,-63,-74,-80,-76,-84,-75,-77,-79
0,0.16,15.33,1.85,-86,-75,-82,-73,-67,-77,-79,-76,-71,-77,-86,-79
0,0.16,15.33,1.85,-80,-74,-82,-74,-63,-86,-78,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-86,-74,-82,-74,-63,-74,-84,-73,-85,-72,-77,-75
0,0.16,15.33,1.85,-81,-78,-81,-73,-63,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-85,-75,-82,-74,-63,-74,-80,-76,-84,-77,-77,-75
0,0.16,15.33,1.85,-81,-75,-82,-71,-63,-76,-78,-75,-70,-77,-77,-74
0,0.16,15.33,1.85,-84,-74,-82,-74,-63,-86,-81,-76,-84,-75,-77,-77
0,0.16,15.33,1.85,-84,-74,-81,-74,-63,-82,-82,-76,-85,-75,-77,-77
0,0.16,15.33,1.85,-86,-75,-82,-71,-70,-77,-82,-77,-68,-76,-86,-77
0,0.16,15.33,1.85,-82,-75,-82,-73,-63,-77,-79,-70,-71,-77,-86,-72
0,0.16,15.33,1.85,-86,-73,-82,-74,-63,-74,-84,-75,-84,-72,-77,-79
0,0.16,15.33,1.85,-80,-78,-80,-73,-62,-86,-76,-70,-71,-77,-76,-69
0,0.16,15.33,1.85,-81,-75,-82,-71,-63,-78,-78,-75,-71,-78,-77,-74
0,0.16,15.33,1.85,-81,-78,-81,-73,-63,-76,-80,-73,-71,-72,-77,-69
0,0.16,15.33,1.85,-81,-74,-81,-74,-67,-77,-78,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-84,-74,-82,-74,-67,-77,-81,-75,-70,-72,-82,-77
0,0.16,15.33,1.85,-83,-73,-82,-74,-63,-77,-80,-76,-85,-77,-86,-79
0,0.16,15.33,1.85,-81,-74,-81,-74,-63,-76,-78,-76,-85,-77,-77,-74
0,0.16,15.33,1.85,-80,-77,-82,-73,-63,-76,-76,-70,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-77,-82,-73,-67,-78,-78,-76,-69,-76,-86,-74
0,0.16,15.33,1.85,-83,-75,-82,-68,-70,-77,-81,-76,-68,-76,-86,-77
0,0.16,15.33,1.85,-84,-74,-82,-74,-63,-74,-82,-76,-85,-75,-86,-74
0,0.16,15.33,1.85,-86,-75,-84,-71,-70,-78,-83,-76,-68,-72,-86,-77
0,0.16,15.33,1.85,-86,-72,-82,-74,-63,-77,-84,-76,-84,-72,-86,-80
0,0.16,15.33,1.85,-86,-73,-81,-74,-63,-74,-84,-76,-85,-72,-77,-80
0,0.16,15.33,1.85,-83,-73,-82,-73,-63,-78,-80,-76,-85,-75,-87,-79
0,0.16,15.33,1.85,-86,-76,-82,-74,-63,-76,-84,-76,-84,-72,-77,-75
0,0.16,15.33,1.85,-83,-73,-82,-71,-67,-76,-82,-76,-85,-72,-77,-79
0,0.16,15.33,1.85,-80,-77,-81,-73,-63,-76,-76,-70,-71,-77,-77,-72
0,0.16,15.33,1.85,-81,-74,-81,-73,-63,-74,-78,-75,-84,-77,-76,-74
0,0.16,15.33,1.85,-81,-78,-80,-73,-63,-76,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-74,-82,-73,-63,-80,-79,-76,-84,-77,-77,-74
0,0.16,15.33,1.85,-81,-74,-82,-73,-63,-76,-78,-76,-84,-77,-86,-74
0,0.16,15.33,1.85,-84,-78,-82,-73,-63,-82,-81,-70,-71,-77,-86,-75
0,0.16,15.33,1.85,-80,-75,-83,-73,-63,-76,-78,-89,-71,-78,-77,-74
0,0.16,15.33,1.85,-86,-73,-82,-74,-70,-77,-83,-76,-76,-72,-86,-80
0,0.16,15.33,1.85,-81,-76,-81,-73,-63,-74,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-82,-75,-82,-73,-67,-77,-78,-76,-71,-77,-86,-74
0,0.16,15.33,1.85,-84,-72,-82,-74,-63,-74,-82,-76,-85,-72,-82,-80
0,0.16,15.33,1.85,-86,-73,-82,-74,-70,-77,-84,-76,-78,-72,-85,-80
0,0.16,15.33,1.85,-86,-73,-81,-74,-70,-77,-84,-75,-84,-72,-85,-79
